Symbol,Name,Sector,Industry,Headquarters,CIK
"ADI
","Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts","0000006281
"
"ANSS
",ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania","0001013462
"
"ANTM
",Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana","0001156039
"
"AON
",Aon plc,Financials,Insurance Brokers,"London, United Kingdom","0000315293
"
"APA
",Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas","0000006769
"
"AIV
",Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado","0000922864
"
"AAPL
",Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California","0000320193
"
"AMAT
",Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California","0000006951
"
"APTV
",Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland","0001521332
"
"ADM
",Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois","0000007084
"
"ARNC
",Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",0000004281
"ANET
",Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",0001596532
"AJG
",Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois","0000354190
"
"AIZ
",Assurant,Financials,Multi-line Insurance,"New York, New York","0001267238
"
"T
",AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",0000732717
"ATO
",Atmos Energy Corp,Utilities,Gas Utilities,"Dallas, Texas",0000731802
"ADSK
",Autodesk Inc.,Information Technology,Application Software,"San Rafael, California","0000769397
"
"ADP
",Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey","0000008670
"
"AZO
",AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee","0000866787
"
"AVB
","AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]","0000915912
"
"AVY
",Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California","0000008818
"
"BKR
",Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",0001701605
"BLL
",Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado","0000009389
"
"BAC
",Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina","0000070858
"
"BAX
",Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",0000010456
"BDX
",Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",0000010795
"BRK.B
",Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska","0001067983
"
"BBY
",Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota","0000764478
"
"BIIB
",Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts","0000875045
"
"BLK
",BlackRock,Financials,Asset Management & Custody Banks,"New York, New York","0001364742
"
"BA
",Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",0000012927
"BKNG
",Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut","0001075531
"
"BWA
",BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan","0000908255
"
"BXP
",Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts","0001037540
"
"BSX
",Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]","0000885725
"
"BMY
",Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",0000014272
"AVGO
",Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California","0001730168
"
"BR
",Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",0001383312
"BF.B
",Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky","0000014693
"
"CHRW
",C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota","0001043277
"
"COG
",Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas","0000858470
"
"CDNS
",Cadence Design Systems,Information Technology,Application Software,"San Jose, California","0000813672
"
"CPB
",Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",0000016732
"COF
",Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",0000927628
"CPRI
",Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York","0001530721
"
"CAH
",Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio","0000721371
"
"KMX
",Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia","0001170010
"
"CCL
",Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida","0000815097
"
"CAT
",Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",0000018230
"CBOE
",Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois","0001374310
"
"CBRE
",CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California","0001138118
"
"CDW
",CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",0001402057
"CE
",Celanese,Materials,Specialty Chemicals,"Irving, Texas",0001306830
"CNC
",Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri","0001071739
"
"CNP
",CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas","0001130310
"
"CTL
",CenturyLink Inc,Communication Services,Alternative Carriers,"Monroe, Louisiana","0000018926
"
"CERN
",Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri","0000804753
"
"CF
",CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois","0001324404
"
"SCHW
",Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California","0000316709
"
"CHTR
",Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut","0001091667
"
"CVX
",Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",0000093410
"CMG
",Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California","0001058090
"
"CB
",Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland","0000896159
"
"CHD
",Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey","0000313927
"
"CI
",CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut","0000701221
"
"XEC
",Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado","0001168054
"
"CINF
",Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio","0000020286
"
"CTAS
",Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio","0000723254
"
"CSCO
",Cisco Systems,Information Technology,Communications Equipment,"San Jose, California","0000858877
"
"C
",Citigroup Inc.,Financials,Diversified Banks,"New York, New York","0000831001
"
"CFG
",Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island","0000759944
"
"CTXS
",Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida","0000877890
"
"CME
",CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois","0001156375
"
"CMS
",CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan","0000811156
"
"KO
",Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",0000021344
"CTSH
",Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey","0001058290
"
"CL
",Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",0000021665
"CMCSA
",Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania","0001166691
"
"CMA
",Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas","0000028412
"
"CAG
",Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois","0000023217
"
"CXO
",Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas","0001358071
"
"COP
",ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0001163165
"ED
",Consolidated Edison,Utilities,Electric Utilities,"New York, New York",0001047862
"STZ
",Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York","0000016918
"
"CPRT
",Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas","0000900075
"
"GLW
",Corning Inc.,Information Technology,Electronic Components,"Corning, New York",0000024741
"CTVA
",Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",0001755672
"COST
",Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington","0000909832
"
"COTY
","Coty, Inc",Consumer Staples,Personal Products,"New York, New York","0001024305
"
"CCI
",Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas","0001051470
"
"CSX
",CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",0000277948
"CMI
",Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",0000026172
"CVS
",CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",0000064803
"DHI
",D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",0000882184
"DHR
",Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",0000313616
"DRI
",Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",0000940944
"DVA
",DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado","0000927066
"
"DE
",Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",0000315189
"DAL
",Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia","0000027904
"
"XRAY
",Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania","0000818479
"
"DVN
",Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma","0001090012
"
"FANG
",Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",0001539838
"DLR
",Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California","0001297996
"
"DFS
",Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois","0001393612
"
"DISCA
",Discovery Inc. Class A,Communication Services,Broadcasting,"Silver Spring, Maryland","0001437107
"
"DISCK
",Discovery Inc. Class C,Communication Services,Broadcasting,"Silver Spring, Maryland","0001437107
"
"DISH
",Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado","0001001082
"
"DG
",Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee","0000029534
"
"DLTR
",Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia","0000935703
"
"D
",Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",0000715957
"DOV
",Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois","0000029905
"
"DOW
",Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",0001751788
"DTE
",DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",0000936340
"DUK
",Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina","0001326160
"
"DRE
",Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana","0000783280
"
"DD
",DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",0001666700
"DXC
",DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia","0001688568
"
"ETFC
",E*Trade,Financials,Investment Banking & Brokerage,"New York, New York","0001015780
"
"EMN
",Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee","0000915389
"
"ETN
",Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",0001551182
"EBAY
",eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",0001065088
"ECL
",Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota","0000031462
"
"EIX
",Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",0000827052
"EW
",Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California","0001099800
"
"EA
",Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California","0000712515
"
"EMR
",Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",0000032604
"ETR
",Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",0000065984
"EOG
",EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas","0000821189
"
"EFX
",Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia","0000033185
"
"EQIX
",Equinix,Real Estate,Specialized REITs,"Redwood City, California","0001101239
"
"EQR
",Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois","0000906107
"
"ESS
","Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California","0000920522
"
"EL
",Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York","0001001250
"
"RE
",Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda","0001095073
"
"EVRG
",Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",0001711269
"ES
",Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",0000072741
"EXC
",Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",0001109357
"EXPE
",Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington","0001324424
"
"EXPD
",Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington","0000746515
"
"EXR
",Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah","0001289490
"
"XOM
",Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",0000034088
"FFIV
",F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",0001048695
"FB
","Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California","0001326801
"
"FAST
",Fastenal Co,Industrials,Building Products,"Winona, Minnesota","0000815556
"
"FRT
",Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland","0000034903
"
"FDX
",FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee","0001048911
"
"FIS
",Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida","0001136893
"
"FITB
",Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",0000035527
"FRC
",First Republic Bank,Financials,Regional Banks,"San Francisco, California",0001132979
"FE
",FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",0001031296
"FISV
",Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin","0000798354
"
"FLT
",FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",0001175454
"FLIR
",FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon","0000354908
"
"FLS
",Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas","0000030625
"
"FMC
",FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania","0000037785
"
"F
",Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",0000037996
"FTNT
",Fortinet,Information Technology,Systems Software,"Sunnyvale, California",0001262039
"FTV
",Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington","0001659166
"
"FBHS
",Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois","0001519751
"
"FOXA
",Fox Corporation Class A,Communication Services,Movies & Entertainment,"New York, New York","0001308161
"
"FOX
",Fox Corporation Class B,Communication Services,Movies & Entertainment,"New York, New York","0001308161
"
"BEN
",Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",0000038777
"FCX
",Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",0000831259
"GPS
",Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California","0000039911
"
"GRMN
",Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland","0001121788
"
"IT
",Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut","0000749251
"
"GD
",General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",0000040533
"GE
",General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",0000040545
"GIS
",General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",0000040704
"GM
",General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan","0001467858
"
"GPC
",Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",0000040987
"GILD
",Gilead Sciences,Health Care,Biotechnology,"Foster City, California","0000882095
"
"GPN
",Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia","0001123360
"
"GL
",Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas","0000320335
"
"GS
",Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York","0000886982
"
"GWW
",Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois","0000277135
"
"HRB
",H&R Block,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri","0000012659
"
"HAL
",Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",0000045012
"HBI
",Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina","0001359841
"
"HOG
",Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",0000793952
"HIG
",Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut","0000874766
"
"HAS
",Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island","0000046080
"
"HCA
",HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee","0000860730
"
"PEAK
",Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California","0000765880
"
"HP
",Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]","0000046765
"
"HSIC
",Henry Schein,Health Care,Health Care Distributors,"Melville, New York","0001000228
"
"HES
",Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York","0000004447
"
"HPE
",Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California","0001645590
"
"HLT
",Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia","0001585689
"
"HFC
",HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas","0000048039
"
"HOLX
",Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts","0000859737
"
"HD
",Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia","0000354950
"
"HON
",Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",0000773840
"HRL
",Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota","0000048465
"
"HST
",Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland","0001070750
"
"HPQ
",HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",0000047217
"HUM
",Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",0000049071
"HBAN
",Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",0000049196
"HII
",Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia","0001501585
"
"IEX
",IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",0000832101
"IDXX
",IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine","0000874716
"
"INFO
",IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom","0001598014
"
"ITW
",Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois","0000049826
"
"ILMN
",Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California","0001110803
"
"INCY
",Incyte,Health Care,Biotechnology,"Wilmington, Delaware","0000879169
"
"IR
",Ingersoll-Rand PLC,Industrials,Industrial Machinery,"Dublin, Ireland","0001466258
"
"INTC
",Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California","0000050863
"
"ICE
",Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia","0001571949
"
"IBM
",International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",0000051143
"IP
",International Paper,Materials,Paper Packaging,"Memphis, Tennessee",0000051434
"IPG
",Interpublic Group,Communication Services,Advertising,"New York, New York","0000051644
"
"IFF
",Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York","0000051253
"
"INTU
",Intuit Inc.,Information Technology,Application Software,"Mountain View, California","0000896878
"
"ISRG
",Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California","0001035267
"
"IVZ
",Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia","0000914208
"
"IPGP
",IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts","0001111928
"
"IQV
",IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,"Durham, North Carolina","0001478242
"
"IRM
",Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts","0001020569
"
"JBHT
",J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas","0000728535
"
"JKHY
",Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",0000779152
"J
",Jacobs Engineering Group,Industrials,Construction & Engineering,"Pasadena, California","0000052988
"
"SJM
",JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio","0000091419
"
"JNJ
",Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",0000200406
"JCI
",Johnson Controls International,Industrials,Building Products,"Cork, Ireland","0000833444
"
"JPM
",JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York","0000019617
"
"JNPR
",Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",0001043604
"KSU
",Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri","0000054480
"
"K
",Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",0000055067
"KEY
",KeyCorp,Financials,Regional Banks,"Cleveland, Ohio","0000091576
"
"KEYS
",Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",0001601046
"KMB
",Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",0000055785
"KIM
",Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York","0000879101
"
"KMI
",Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas","0001506307
"
"KLAC
",KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",0000319201
"KSS
",Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",0000885639
"KHC
",Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania","0001637459
"
"KR
",Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",0000056873
"LB
",L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio","0000701985
"
"LHX
",L3Harris Technologies,Industrials,Aerospace & Defense,"Melbourne, Florida","0000202058
"
"LH
",Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina","0000920148
"
"LRCX
",Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California","0000707549
"
"LW
",Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",0001679273
"LVS
",Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",0001300514
"LEG
",Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",0000058492
